,Kingdom,Phylum,Class,Order,Family,Genus,predicted_copy_number
ASV35,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,Gaiellaceae,Gaiella,1.876410917
ASV36,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,67-14,NA,1.813203101
ASV37,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Luteimonas,1.98454689
ASV38,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,5.993869902
ASV39,Bacteria,Myxococcota,Polyangia,Polyangiales,BIrii41,NA,2.809937976
ASV40,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,NA,1.869510653
ASV41,Bacteria,Chloroflexi,KD4-96,NA,NA,NA,3.666528584
ASV42,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,NA,1.743048156
ASV43,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,Gaiellaceae,Gaiella,1.84031642
ASV44,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,A21b,NA,3.175526469
ASV45,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,NA,3.006422481
ASV46,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Nakamurellaceae,Nakamurella,2.481562615
ASV47,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria Incertae Sedis,Unknown Family,Acidibacter,1.199767839
ASV48,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Luteibacter,2.323371975
ASV49,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,SC-I-84,NA,2.474248067
ASV50,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,NA,NA,1.750961153
ASV51,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,4.615830141
ASV52,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,Galbitalea,1.895916329
ASV53,Bacteria,Myxococcota,Polyangia,Polyangiales,Polyangiaceae,Aetherobacter,2.305150465
ASV54,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,NA,1.452073489
ASV55,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,1.624767615
ASV56,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,NA,NA,1.807388263
ASV57,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Variovorax,1.894902618
ASV58,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,NA,NA,1.808589615
ASV59,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,ADurb.Bin063-1,1.417116922
ASV60,Bacteria,Acidobacteriota,Subgroup 5,NA,NA,NA,2.51118152
ASV61,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,NA,NA,1.760477413
ASV62,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Arenimonas,2.53494142
ASV63,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira,2.577057583
ASV64,Bacteria,Actinobacteriota,Actinobacteria,Micromonosporales,Micromonosporaceae,Luedemannella,3.03613174
ASV65,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus Udaeobacter,1.773595608
ASV66,Bacteria,Myxococcota,bacteriap25,NA,NA,NA,2.97620162
ASV67,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,NA,11.08500085
ASV68,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,NA,NA,1.679196711
ASV69,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,IS-44,4.888357397
ASV70,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,Ellin6067,2.928259948
ASV71,Bacteria,Chloroflexi,KD4-96,NA,NA,NA,2.305009356
ASV72,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira,1.804366378
ASV73,Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,RB41,1.783053501
ASV74,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,NA,1.516723759
ASV75,Bacteria,Myxococcota,Polyangia,Polyangiales,BIrii41,NA,2.280688058
ASV76,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Janthinobacterium,6.802668145
ASV77,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,2.983041107
ASV78,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,Opitutaceae,Lacunisphaera,1.463542599
ASV79,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,NA,NA,1.678763334
ASV80,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,Gaiellaceae,Gaiella,1.97907112
ASV81,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Cellulomonadaceae,Cellulomonas,2.157259464
ASV82,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,Solirubrobacter,1.374409214
ASV83,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter,2.122190184
ASV84,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,NA,NA,2.893060433
ASV85,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,NA,NA,2.260926871
ASV86,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,Galbitalea,2.135713573
ASV87,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Intrasporangiaceae,Lapillicoccus,1.872865309
ASV88,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Xylophilus,1.646954702
ASV89,Bacteria,Desulfobacterota,Desulfuromonadia,Geobacterales,Geobacteraceae,Geobacter,2.741705629
ASV90,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus Udaeobacter,1.551571644
ASV91,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,NA,2.397782156
ASV92,Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,RB41,1.672965674
ASV93,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus Udaeobacter,1.656439712
ASV94,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,1.86182874
ASV95,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria Incertae Sedis,Unknown Family,Acidibacter,1.260216881
ASV96,Bacteria,Chloroflexi,KD4-96,NA,NA,NA,2.541172194
ASV97,Bacteria,Proteobacteria,Gammaproteobacteria,CCD24,NA,NA,2.630723937
ASV98,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Dokdonella,2.732616507
ASV99,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,LWQ8,NA,2.637788727
ASV100,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Acidothermaceae,Acidothermus,3.415410973
ASV101,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,1.711319527
ASV102,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,NA,2.850852663
ASV103,Bacteria,Proteobacteria,Alphaproteobacteria,Reyranellales,Reyranellaceae,Reyranella,3.628667423
ASV104,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,MND1,2.665371862
ASV105,Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,NA,NA,1.343307216
ASV106,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pirellula,1.64026481
ASV107,Bacteria,Proteobacteria,Alphaproteobacteria,NA,NA,NA,2.291321659
ASV108,Bacteria,Acidobacteriota,Vicinamibacteria,Subgroup 17,NA,NA,1.972109605
ASV109,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Pseudoduganella,6.608302588
ASV110,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Rhizobacter,3.000152509
ASV111,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,NA,2.200524703
ASV112,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Acidicaldus,2.466707707
ASV113,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,SC-I-84,NA,5.004888887
ASV114,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira,2.155908173
ASV115,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,1.871418515
ASV116,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,mle1-7,3.052701316
ASV117,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,NA,NA,1.764567678
ASV118,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus Udaeobacter,1.507231132
ASV119,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,SWB02,2.035339718
ASV120,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,TRA3-20,NA,5.01998917
ASV121,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,4.685291274
ASV122,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,4.772530078
ASV123,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,SC-I-84,NA,3.637404022
ASV124,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Piscinibacter,2.157104716
ASV125,Bacteria,Latescibacterota,NA,NA,NA,NA,3.003987698
ASV126,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,Ellin6067,2.873582406
ASV127,Bacteria,Proteobacteria,Alphaproteobacteria,Reyranellales,Reyranellaceae,Reyranella,2.246942466
ASV128,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria Incertae Sedis,Unknown Family,Acidibacter,1.360643067
ASV129,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,Ellin6067,2.353716707
ASV130,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,NA,2.241852589
ASV131,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,NA,NA,1.745003436
ASV132,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,1.812544083
ASV133,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,NA,1.789730084
ASV134,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus Udaeobacter,1.370522686
ASV135,Bacteria,Acidobacteriota,Subgroup 22,NA,NA,NA,1.652499893
ASV136,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,67-14,NA,1.525531566
ASV137,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,NA,NA,2.105599061
ASV138,Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,Koribacteraceae,Candidatus Koribacter,1.045475862
ASV139,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria Incertae Sedis,Unknown Family,Acidibacter,1.308230117
ASV140,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,NA,NA,3.22668784
ASV141,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,67-14,NA,1.90792746
ASV142,Bacteria,Actinobacteriota,MB-A2-108,NA,NA,NA,3.488710066
ASV143,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,Ellin6067,1.974297527
ASV144,Bacteria,Firmicutes,Bacilli,Bacillales,NA,NA,9.109260946
ASV145,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia-Caballeronia-Paraburkholderia,3.800356926
ASV146,Bacteria,Chloroflexi,KD4-96,NA,NA,NA,2.855721344
ASV147,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,NA,NA,1.521822585
ASV148,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Pir4 lineage,1.63231542
ASV149,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,1.425771839
ASV150,Bacteria,Chloroflexi,KD4-96,NA,NA,NA,2.51775769
ASV151,Bacteria,Methylomirabilota,Methylomirabilia,Rokubacteriales,NA,NA,1.797855198
ASV152,Bacteria,Chloroflexi,KD4-96,NA,NA,NA,2.875740959
ASV153,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,Opitutaceae,Opitutus,1.458039587
ASV154,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Mesorhizobium,1.759928992
ASV155,Bacteria,Chloroflexi,KD4-96,NA,NA,NA,2.979776734
ASV156,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,JGI 0001001-H03,1.713992013
ASV157,Bacteria,Myxococcota,Polyangia,Polyangiales,BIrii41,NA,3.944236123
ASV158,Bacteria,Actinobacteriota,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,4.758709609
ASV159,Bacteria,Acidobacteriota,Acidobacteriae,Bryobacterales,Bryobacteraceae,Bryobacter,1.41347668
ASV160,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Ellin6055,1.747362034
ASV161,Bacteria,Proteobacteria,Gammaproteobacteria,PLTA13,NA,NA,2.907167263
ASV162,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,mle1-7,2.920688167
ASV163,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Xiphinematobacteraceae,Candidatus Xiphinematobacter,1.338802477
ASV164,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,NA,NA,3.338215614
ASV165,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Nocardioidaceae,Kribbella,2.082963937
ASV166,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,NA,NA,2.429392564
ASV167,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium sensu stricto 1,11.01067056
ASV168,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,NA,NA,4.230828986
ASV169,Bacteria,Chloroflexi,TK10,NA,NA,NA,2.244702032
ASV170,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,NA,NA,1.707617224
ASV171,Bacteria,Acidobacteriota,Holophagae,Holophagales,Holophagaceae,Holophaga,3.816156003
ASV172,Bacteria,Actinobacteriota,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Pseudonocardia,2.471595746
ASV173,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,MND1,3.086409313
ASV174,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,MND1,3.916389627
ASV175,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Nakamurellaceae,Nakamurella,3.005189399
ASV176,Bacteria,Proteobacteria,Alphaproteobacteria,Micropepsales,Micropepsaceae,NA,2.890149735
ASV177,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Ilumatobacteraceae,CL500-29 marine group,2.484291204
ASV178,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,NA,3.05682033
ASV179,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,SC-I-84,NA,3.525187171
ASV180,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,Steroidobacter,1.233463829
ASV181,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Ilumatobacteraceae,NA,2.247266443
ASV182,Bacteria,Proteobacteria,Alphaproteobacteria,Reyranellales,Reyranellaceae,Reyranella,3.55968624
ASV183,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,NA,3.898926673
ASV184,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Ilumatobacteraceae,Ilumatobacter,1.589909001
ASV185,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter,2.208552572
ASV186,Bacteria,Acidobacteriota,Acidobacteriae,Subgroup 2,NA,NA,1.446841403
ASV187,Bacteria,Actinobacteriota,MB-A2-108,NA,NA,NA,3.480587425
ASV188,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Hyphomicrobium,1.306141011
ASV189,Bacteria,Chloroflexi,Dehalococcoidia,S085,NA,NA,2.590117994
ASV190,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,NA,NA,1.806672195
ASV191,Bacteria,Myxococcota,Polyangia,Polyangiales,Phaselicystidaceae,Phaselicystis,3.015960099
ASV192,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,NA,NA,1.990049119
ASV193,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,NA,2.387167848
ASV194,Bacteria,Actinobacteriota,Acidimicrobiia,IMCC26256,NA,NA,3.984696925
ASV195,Bacteria,Actinobacteriota,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Pseudonocardia,2.90485689
ASV196,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,NA,1.94965503
ASV197,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA,2.594508784
ASV198,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,1.63830526
ASV199,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Pedomicrobium,1.346567135
ASV200,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,NA,3.043484936
ASV201,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Candidatus Udaeobacter,1.565230829
ASV202,Bacteria,Proteobacteria,Alphaproteobacteria,Micropepsales,Micropepsaceae,NA,3.239044298
ASV203,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,4.073012187
ASV204,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Geodermatophilaceae,Blastococcus,2.760728979
ASV205,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,NA,NA,1.73789376
ASV206,Bacteria,Chloroflexi,KD4-96,NA,NA,NA,4.750527003
ASV207,Bacteria,Proteobacteria,Gammaproteobacteria,PLTA13,NA,NA,2.291552544
ASV208,Bacteria,Proteobacteria,Gammaproteobacteria,CCD24,NA,NA,2.911770973
ASV209,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,JGI 0001001-H03,1.210135847
ASV210,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,NA,NA,1.508715451
ASV211,Bacteria,Proteobacteria,Gammaproteobacteria,JG36-TzT-191,NA,NA,1.626252657
ASV212,Bacteria,Proteobacteria,Alphaproteobacteria,Elsterales,NA,NA,3.102795883
ASV213,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,NA,NA,1.726288694
ASV214,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,2.444437165
ASV215,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Rhodoplanes,1.926890136
ASV216,Bacteria,Acidobacteriota,Acidobacteriae,Bryobacterales,Bryobacteraceae,Bryobacter,1.250475905
ASV217,Bacteria,Acidobacteriota,Vicinamibacteria,Subgroup 17,NA,NA,1.563181266
ASV218,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Mycoavidus,2.410668208
ASV219,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,NA,NA,1.814339256
ASV220,Bacteria,Actinobacteriota,MB-A2-108,NA,NA,NA,3.32157112
ASV221,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,NA,2.16827485
ASV222,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,NA,2.212812103
ASV223,Bacteria,Myxococcota,Polyangia,Polyangiales,Polyangiaceae,Aetherobacter,2.64500496
ASV224,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Puia,1.666080836
ASV225,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,Candidatus Nitrocosmicus,3.873342144
ASV226,Bacteria,Desulfobacterota,Desulfuromonadia,Desulfuromonadales,Desulfuromonadaceae,Desulfuromonas,2.171715766
ASV227,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,7.446584596
ASV228,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Sporichthyaceae,NA,1.893039145
ASV229,Archaea,Crenarchaeota,Nitrososphaeria,Nitrososphaerales,Nitrososphaeraceae,NA,2.047850894
ASV230,Bacteria,Actinobacteriota,MB-A2-108,NA,NA,NA,4.150288594
ASV231,Bacteria,Acidobacteriota,Acidobacteriae,Bryobacterales,Bryobacteraceae,Bryobacter,1.304490021
ASV232,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,NA,1.654777377
ASV233,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Pseudaminobacter,1.88181895
ASV234,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Methylophilaceae,Methylotenera,3.090008011
ASV235,Bacteria,Actinobacteriota,Acidimicrobiia,IMCC26256,NA,NA,2.176338633
ASV236,Bacteria,FCPU426,NA,NA,NA,NA,5.77330442
ASV237,Bacteria,Latescibacterota,NA,NA,NA,NA,3.468894166
ASV238,Bacteria,Latescibacterota,NA,NA,NA,NA,2.660168489
ASV239,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,ADurb.Bin063-1,1.779894573
ASV240,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium,3.113429422
ASV241,Bacteria,Desulfobacterota,Desulfuromonadia,Geobacterales,Geobacteraceae,Geobacter,1.973403962
ASV242,Bacteria,Chloroflexi,Gitt-GS-136,NA,NA,NA,2.792057474
ASV243,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,MND1,2.27080003
ASV244,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,NA,1.370166109
ASV245,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Rhodoblastus,1.773793173
